name,school,marks
Aarav Sharma,Green Valley High,85
Ananya Iyer,St. Xavier's Academy,92
Arjun Gupta,Delhi Public School,78
Diya Kapoor,Oakridge International,95
Ishaan Malhotra,Riverside School,64
Khushi Verma,Silver Oaks School,88
Krishna Reddy,The Doon School,72
Myra Singh,Mayo College,91
Navya Joshi,Lawrence School,83
Pihu Agarwal,Welham Girls' School,97
Rohan Nair,Bishop Cotton School,76
Sana Khan,Cathedral & John Connon,89
Shaurya Das,Campion School,81
Siya Mehta,Jamnabai Narsee School,94
Vivaan Chawla,Dhirubhai Ambani School,98
Aditya Rao,Modern School,75
Pari Saxena,Sanskaar Valley School,86
Sai Kiran,Heritage School,82
Vihaan Bhat,Pathways World School,90
Angel D'Souza,Indus International School,87
