,Student ID,Full Name,Age,Gender,Major,GPA
0,1001,Alice Johnson,20.0,Female,Computer Science,3.8
1,1002,0,22.0,Male,Mathematics,0.0
2,1003,Charlie Brown,0.0,Male,Physics,3.5
3,1004,David Wilson,19.0,Male,0,3.2
4,1005,Eva Davis,21.0,Female,Biology,3.9
5,1006,Frank Miller,23.0,Male,Chemistry,2.8
6,1007,Grace Lee,20.0,Female,0,3.7
7,1008,Henry Moore,22.0,0,History,3.1
8,1009,Ivy Taylor,0.0,Female,Art,3.6
9,1010,Jack Anderson,21.0,Male,Philosophy,0.0
10,1011,Karen White,19.0,Female,Sociology,3.4
11,1012,Leo Thomas,23.0,Male,0,3.0
12,1013,Mia Harris,20.0,0,Psychology,3.8
13,1014,Noah Martin,0.0,Male,Economics,3.3
14,1015,Olivia Garcia,21.0,Female,0,3.5
15,1016,Paul Rodriguez,22.0,Male,Political Science,0.0
16,1017,0,19.0,0,Music,3.9
17,1018,Rose Walker,21.0,Female,0,3.2
18,1019,Sam Hall,0.0,Male,Engineering,3.7
19,1020,Tina Young,20.0,Female,0,3.4
20,1021,Uma Hernandez,22.0,Female,Literature,0.0
21,1022,Victor King,19.0,Male,0,3.1
22,1023,Wendy Wright,0.0,Female,Geography,3.6
23,1024,Xander Lopez,21.0,Male,0,3.3
24,1025,Yara Hill,20.0,Female,0,3.8
25,1026,Zane Scott,0.0,Male,Astronomy,3.5
26,1027,Abby Green,22.0,Female,0,3.0
27,1028,Ben Adams,19.0,Male,0,2.9
28,1029,Chloe Baker,21.0,0,Nursing,3.7
29,1030,Dan Clark,0.0,Male,Marketing,0.0
30,1031,Ella Evans,20.0,Female,0,3.4
31,1032,Finn Ford,22.0,Male,0,3.2
32,1033,Gina Gray,19.0,Female,Finance,0.0
33,1034,Hugo Hart,0.0,Male,0,3.5
34,1035,0,21.0,Female,Geology,3.1
35,1036,Jake Jones,20.0,0,0,3.8
36,1037,Kira Kelly,22.0,Female,Law,3.6
37,1038,Liam Long,19.0,Male,0,3.0
38,1039,Maya Moon,0.0,Female,0,3.9
39,1040,Nate Nash,21.0,Male,Accounting,0.0
40,1041,Olga Owen,20.0,Female,0,3.3
41,1042,Pete Park,22.0,Male,Journalism,3.5
42,1043,Rosa Reed,0.0,Female,0,3.7
43,1044,Seth Shaw,19.0,Male,Anthropology,0.0
44,1045,Tess Todd,21.0,Female,0,3.2
45,1046,Uri Uzun,20.0,0,Linguistics,3.8
46,1047,Vera Voss,22.0,Female,0,3.1
47,1048,Will Wade,19.0,Male,0,2.8
48,1049,Xena Xian,0.0,Female,Statistics,3.6
49,1050,Yuri Yan,21.0,Male,0,0.0
50,1051,Zoey Zun,20.0,Female,Forestry,3.4
51,1052,Alan Abel,22.0,0,0,3.5
52,1053,Beth Bell,19.0,Female,Ecology,3.7
53,1054,Carl Cook,0.0,Male,0,3.0
54,1055,Dora Doll,21.0,Female,Mythology,3.9
55,1056,Eric Edge,20.0,Male,0,3.2
56,1057,Faye Finn,22.0,Female,0,3.8
57,1058,Gary Gump,0.0,Male,Ethics,0.0
58,1059,Hope Haze,19.0,Female,0,3.1
59,1060,0,21.0,Male,Robotics,3.6
60,1061,Jane Jibe,20.0,0,0,3.3
61,1062,Kyle Keel,22.0,Male,Design,0.0
62,1063,Lara Lace,0.0,Female,0,3.5
63,1064,Mike Muse,19.0,Male,Theatre,3.0
64,1065,Nora Note,21.0,Female,0,3.7
65,1066,Otis Ooze,20.0,0,0,3.2
66,1067,Pam Peak,22.0,Female,Genetics,0.0
67,1068,Rick Rock,0.0,Male,0,3.4
68,1069,Sara Star,19.0,Female,Dance,3.8
69,1070,Tom Tuba,21.0,Male,0,3.1
70,1071,Una Unit,20.0,0,0,3.9
71,1072,Val Veto,22.0,Female,Fashion,0.0
72,1073,Wes West,0.0,Male,0,3.6
73,1074,Xara Xray,19.0,Female,Sports,3.3
74,1075,Yule Yale,21.0,0,0,3.0
75,1076,Zeke Zero,20.0,Male,Commerce,0.0
76,1077,Anya Arch,22.0,Female,0,3.5
77,1078,Brad Bolt,0.0,Male,0,3.7
78,1079,Cara Coil,19.0,Female,Logistics,3.2
79,1080,Drew Dash,21.0,0,0,3.8
80,1081,Elsa Echo,20.0,Female,Banking,0.0
81,1082,Fred Fast,22.0,Male,0,3.1
82,1083,Gina Glee,0.0,Female,0,3.6
83,1084,Hans High,19.0,Male,Film,3.4
84,1085,0,21.0,0,0,0.0
85,1086,Joey Jolt,20.0,Male,Craft,3.3
86,1087,Katy Kind,22.0,Female,0,3.5
87,1088,Luke Luck,0.0,Male,0,3.8
88,1089,Mona Mild,19.0,Female,Poetry,3.2
89,1090,Nick Neat,21.0,0,0,3.7
90,1091,Opal Open,20.0,Female,Metals,0.0
91,1092,Phil Plus,22.0,Male,0,3.1
92,1093,Rose Rice,0.0,Female,0,3.9
93,1094,Stan Slow,19.0,Male,Woodwork,3.0
94,1095,Tara Tact,21.0,0,0,3.6
95,1096,Ural Utah,20.0,Male,Maps,0.0
96,1097,Vivi Vine,22.0,Female,0,3.3
97,1098,Wolf Wild,0.0,Male,0,3.5
98,1099,Xia Xylos,19.0,Female,Clay,3.8
99,1100,York Yard,21.0,Male,0,0.0
